Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Period,Background
193,11,,,,,,,,Severus vs Niger,"The armies of Severus and Pescennius Niger fight near Byzantium, Severus wins. Niger was very slow to muster his troops in the area. A second battle, the battle of Cyzicus, follows in december on northwest Anatolia.",,,,,,,,
193,7,,,,,,,,Praetorian guard disbanded,Severus disbands the Praetorian guard that had killed Pertinax and auctioned off the emporership. The members are forbidden to ever come near rome again. He increased the size of the Praetorian guard and made it consist of the best soldiers of the empire. This saps the border legions of their best men.,,,,,,,,
194,,,,,,,,,Battle of Issus,"Forces under Severus, commanded by Anullinus, manage to narrowly beat Niger. Niger tries to flee but fails and is beheaded.",,,,,,,,
197,2,19,,,,,,,Battle of Lugdunum,"Clodius Albinus finally figures he has been betrayed after Severus names a different heir that is not Albinus. Ablinus musters a large forces and starts marching towards rome. The two forces meet near Lugdunum or modern Lyon. Ancient sources give 150,000 legionaries against 150,000, with modern around 75,000 against 75,000. The battle raged two days with many shifts back and forth, was one of the largest encounters between romans ever.",,,,,,,Septimius Severus,
205,1,,,,,,,,Plautianus executed,"The powerful Praetorian Prefect has a lot of influence over Severus after 197. Until a denouncement by the emporer's dying brother, Plautianus de-facto rules in the empire.",,,,,,,Septimius Severus,
208,,,,211,2,4,,,British military campaign,"Severus campaigns to quell and conquer scotish peoples, he takes his sons Caracala and Getta with him to try and teach them manners.",,,,,,,Septimius Severus,
211,,,,217,,,,,Caracalla,,,,,,era,,,
211,12,19,,,,,,,Caracalla murders Geta,"Caracalla has his brother Geta murdered at a reconciliation meeting arranged by their mother, whilst their mother watches. Afterwards Caracalla orders a damnatio memoriae (ordered by a forced senate), and in some of the largest purges yet around 20,000 people are killed, those being Geta's friends, advisors or military staff under his employ.",,,,,,,Caracalla,
212,,,,,,,,,Constitutio Antoniniana,"Caracalla gives every free man in the Roman Empire citizenship. This tries to increase state revenue, by creating more tax paying citizens but this still gives some measure of standing to those citizens.",,,,,,,Caracalla,
215,,,,,,,,,Caracalla plunders Alexandria,"Alexandria, a roman city, is plundered by the roman emporer Caracalla. They had put on a play that mocked Caracalla's murder of his brother ('in self-defence'). His troops loot Alexandria for several days.",,,,,,,Caracalla,
217,,,,218,,,,,Macrinus,,,,,,era,,,
218,,,,222,,,,,Elegabalus,,,,,,era,,,
220,,,,280,,,,,Three kingdoms,,,,,,,China,,
222,,,,235,,,,,Severus Alexander,,,,,,era,,,
230,,,,232,,,,,Rome-Persian War,"Adrashir I, having established himself as ruler of the new sasanian empire, seeks a war of expansion against Rome. Rome under Severus Alexander has a lackluster defense, 2 columsn are sent to flank the sasanid empire but Alexander in the middle column provides no pressure and the campaign fails. A unofficial white truce results and Alexander celebrates a triumph in rome. ",,,,,,,Severus Alexander,
235,,,,270,,,,,Crisis of the Third Century,,,,,,era,,,
235,5,20,,,,,,,Maximinius Thrax kills Alexander,"Leading an uprising, Maximinus Thrax kills Alexander. He has popular support from the armies because Alexander is seen as a coward due to his negotiations and stalling. Using this Thrax becomes the first 'barbarian' emporer of Rome, scorning the senators and instead using the army where he is much loved. He would double the pay for his soldiers, which required a large tax increase.",,,,,,,Crisis of the Third Century,
238,3,22,,238,4,12,,,Gordians rise up,"The procurator of Africa, Gordian 1 and his son Gordian 2 rise up in africa against Thrax. The Senate supports them but they don't have an army in Africa and are killed. Leaving 1 Gordian in rome. Gordian could do this because he was famous for the lavish games he threw in his past.",,,,,,,Crisis of the Third Century,
238,4,22,,,,,,,Pupienus and Balbinus declare revolt,"Having declared support of the Gordians, 2 senators in Rome are elected augustus, with Gordian III seleted as Caesar to appease the people.",,,,,,,Crisis of the Third Century,
238,5,,,,,,,,"Siege of Aquileia, death of Thrax","The soldiers of Thrax siege Aquileia which has shut its gates. During this siege the soldiers become discontent and kill Thrax, afterwards have no plan.",,,,,,,Crisis of the Third Century,
241,,,,,,,,,Gordian III marries daughter prefect,"Timesitheus is made praetorian prefect and Gordian III marries his daughter, making him the most powerful man in the empire.",,,,,,,Crisis of the Third Century,
243,,,,,,,,,Battle of Resaena,After Shapur I invades the Roman empire and takes several cities the Romans organise a large response. Timesitheus and Gordian III beat Shapur at this battle.,,,,,,,Crisis of the Third Century,
243,,,,,,,,,Timesitheus dies,"Philip 'the arab' is made Praetorian prefect, possibly killed Timesitheus.",,,,,,,Crisis of the Third Century,
244,,,,,,,,,Battle of Misiche,"The Romans and Sasanians fight again, Shapur decisively beats the Romans on Sasanid ground near modern Fallujah. Somewhere in this Gordian dies, possibly in battle but romans say by his officers. Philip the arab becomes emporer.",,,,,,,Crisis of the Third Century,
247,,,,,,,,,Ludi Saeculares,"Rome celebrates it's 1000th anniversary, the celebrations are led by Philip the arab. Over 1000 gladiators die.",,,,,,,Crisis of the Third Century,
249,,,,,,,,,Battle of Verona,"Decius, having been sent to Moesia to quell unrest and rebelion, takes over the rebellion and kills Philip the arab.",,,,,,,Crisis of the Third Century,
251,8,,,,,,,,Battle of Abritus,"In Moesia Inferior, modernday Razgrad, Bulgaria, the roman empire under Decius fights against the gothic leader Cniva. Decius' army is caught by surprise by soldiers concealed in a swamp. Decius dies and is the first roman emporer to be killed by a foreign army. Trebonianus Gallus made emporer by army, Hostillian made emporer by senate, they come a peaceful arrangement of co-emporership.",,,,,,,Crisis of the Third Century,
251,11,,,,,,,,Hostilian dies,"Hostilian dies of the Cyrpian plague, first emporer to die of natural causes in 40 years.",,,,,,,Crisis of the Third Century,
253,,,,,,,,,Battle of Barbalissos,"Shapur I annihilates a force of 60,000 romans near Aleppo.",,,,,,,Crisis of the Third Century,
253,,,,,,,,,Aemilianus emporer,Aemilianius is aclaimed by Moesian troops as emporer after he beats the invading Goths. Takes his troops to rome and kills Gallus.,,,,,,,Crisis of the Third Century,
253,,,,,,,,,Valerian emporer,Velerian proclaimed emporer and Moesian troops kill Aemilianus.,,,,,,,Crisis of the Third Century,
254,,,,,,,,,"Valerian heads east, Galienus caesar","Valerian heads east to deal with the invasion of Shapur I, makes his son Galienus caesar.",,,,,,,Crisis of the Third Century,
257,,,,,,,,,Valerian recaptures Antioch,,,,,,,,Crisis of the Third Century,
258,,,,260,,,,,Alamanni invade,Gallienus has to deal with an invasion of the Alamanni. They get as far Rome but are repelled.,,,,,,,Crisis of the Third Century,
259,,,,,,,,,Battle of Mediolanum,"Gallienus beats the retreating Alemanni, delivering total defeat. This invasion however scares the Romans of italy and reveals the weakness of the border defense.",,,,,,,Crisis of the Third Century,
260,,,,,,,,,Battle of Edessa,"Shapur I defeats roman forces under Valerian and captures Valerian. Defeating all the roman forces, Valerian becomes the first captured emporer. one of the worst disasters in roman military history.",,,,,,,Crisis of the Third Century,
260,9,,,,,,,,Postumus rules north west,"Postumus raises the flag of rebellion and starts his rule over Britain, Spain, parts of Germania and Gaul.",,,,,,,Crisis of the Third Century,
262,,,,,,,,,Odaenathus rules east,"Odaenathus repels Shapur I in a series of brilliant battles. In theory he paid service to the emporer and was subservient but was de facto and independant ruler of the Levant, Mesopotamia and eastern Anatolia.",,,,,,,Crisis of the Third Century,
267,,,,,,,,,"Odaenathus killed, Zenobia rules","Zenobia rules in her sons Vaballathus' stead, as he is still young. Odaenathus is killed by assassins.",,,,,,,Crisis of the Third Century,
268,,,,,,,,,Battle of Naissus,Claudius Gothicus routes a massive goth invasion.,,,,,,,Crisis of the Third Century,
268,,,,,,,,,Gallienus killed,"Gallienus is murdered by assassins, Claudius is the new emporer.",,,,,,,Crisis of the Third Century,
270,,,,275,,,,,Aurelian,,,,,,era,,,
270,10,,,,,,,,Aurelian kills Quintillus,Quintillus rose up after the death of Claudius.,,,,,,,Aurelian,
270,1,,,,,,,,Claudius dies,"Claudius dies of the Cyrpian plague, Quintillus (his brother) tries to grab power.",,,,,,,Aurelian,
271,,,,,,,,,Aurelian walls ordered built,,,,,,,,Aurelian,
271,,,,,,,,,Battle of Placentia,Aurelian defeated in an ambush by the Juthungi.,,,,,,,Aurelian,
271,,,,,,,,,Battle of Fano,Aurelian defeats a force of Juthungi who were moving to defenseless rome.,,,,,,,Aurelian,
271,,,,,,,,,Dacia abandoned,"Rome pulls back from Dacia, marking the shrinkage of the Roman Empire. ",,,,,,,Aurelian,
272,,,,,,,,,Aurelian reconquers Palmyrene Empire,"After a brief campaign through eastern rebel cities, Aurelian gives pardons to the first city he sieges. The rest quickly surrender. Palmyra is captured and Zenobia and her son are dragged out in chains.",,,,,,,Aurelian,
273,,,,,,,,,Library of alexandria burned,"Aurelian's conquest of Alexandria burned down a part of the city housing the library of alexandria, possibly destroying a large section of the library.",,,,,,,Aurelian,
273,,,,,,,,,"Palmyra revolts, is leveled",Palmyra is destroyed and its citizens are dragged off to live elsewhere after it revolts again.,,,,,,,Aurelian,
274,,,,,,,,,Gallic Empire reconquered,Aurelian reconquers the Gallic provinces after their leader Tetricus defects.,,,,,,,Aurelian,
275,,,,276,6,,,,Tacticus,,,,,,era,,,
275,,,,,,,,,Aurelian murdered,Aurelian is murdered by his generals after they fear he will kill them first after a forged document is published that shows they are to be executed.,,,,,,,,
276,6,,,276,9,,,,Florian,,,,,,era,,,
276,9,,,282,9,,,,Probus,,,,,,era,,,
280,,,,420,,,,,Jin dynasty,(Started in 265 when most of Jin conquest was completed),,,,,,China,,
282,9,,,283,8,,,,Carus,,,,,,era,,,
283,8,,,284,11,,,,Numerian/Carinus,,,,,,era,,,
284,11,,,285,7,,,,Carinus v Diocletian,,,,,,era,,,
285,7,,,305,3,1,,,Diocletian,,,,,,era,,,
285,,,,,,,,,Battle of Margus,Diocletian decisive victor and emporer of rome,,,,,,,Diocletian,
286,4,1,,305,3,1,,,Maximian junior augustus,Constantius 1/Galerius Caesars,,,,,,,Diocletian,
286,,,,,,,,,Capital becomes Milan,,,,,,,,Diocletian,
293,,,,,,,,,Galerius and Constantius made Caesars,"2 junion caesars are appointed next to Maximian and Diocletian, making for 4 emporers, 2 junior and 2 senior.",,,,,,,Diocletian,
296,,,,,,,,,Constantius reclaims britain,The father of constantine reclaims Britain for the roman empire.,,,,,,,Diocletian,
298,,,,,,,,,Battle of Satala,Galerius beats sassanid empire,,,,,,,Diocletian,
305,3,1,,311,3,,,,Galerius,,,,,,era,,Diocletian,
305,3,1,,306,6,25,,,Constantius 1 Co-Augustus,Untill he dies of natural causus,,,,,,,Diocletian,
305,,,,,,,,,Diocletian retires,"The only emporer to ever voluntarily abdicate, Diocletian retires after a long bout with disease to go farm cabages.",,,,,,,Diocletian,
306,6,,,307,4,,,,Severus 2 Co-Augustus,,,,,,,,Constantine,
306,7,25,,324,10,18,,,Constantine rules west,,,,,,,,Constantine,
306,10,28,,312,10,28,,,Maxentius rules Italy,Defeated by constantine,,,,,,,Constantine,
308,11,11,,324,10,18,,,Licinius rules east,,,,,,,,Constantine,
309,,,,379,,,,,Shapur II reigns Sasanids,"An eternal enemy of the romans, he waged many wars against the roman empire from constantine to Theodosius",https://en.wikipedia.org/wiki/Shapur_II,,,,,,,
312,10,28,,,,,,,"Milvian Bridge Battle
",Constantine beats Maxentius,,,,,,,Constantine,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Battle_at_the_Milvian_Bridge%2C_G%C3%A9rard_Audran_after_Charles_Le_Brun%2C_1666-crop.jpg/800px-Battle_at_the_Milvian_Bridge%2C_G%C3%A9rard_Audran_after_Charles_Le_Brun%2C_1666-crop.jpg
324,10,18,,337,3,22,,,Constantine the Great,,,,,,era,,Constantine,
324,,,,,,,,,Constantinople founded,,,,,,,,Constantine,
325,,,,,,,,,First Council of Nicaea,,,,,,,,Constantine,
374,,,,,,,,,Ambrose elected bishop of Milan,"By popular pronouncement, without any churchly experience or even being baptised.",,,,,,,,
378,8,9,,,,,,,Battle of Adrianople,,,,,,,,,
379,1,19,,392,,,,,Theodosius rules East,,,,,,,,,
383,,,,388,,,,,Magnus Maximus rules West,,,,,,,,,
395,,,,,,,,,Theodosius last emporer of whole roman empire,,,,,,,,,
401,,,,,,,,,Capital becomes Ravenna,,,,,,,,,
410,,,,,,,,,Sack of Rome,,,,,,,,,
417,,,,,,,,,Goths settle Aquitania,,,,,,,,,
420,,,,479,,,,,Liu Song dynasty,"Southern dynasty, north divided into number of states",,,,,,China,,
433,,,,454,,,,,Aetius rules Western Empire,,,,,,,,,
434,,,,,,,,,Attila king of Huns,,,,,,,,,
442,,,,,,,,,Vandal Kingdom recognized,North Africa conquered,,,,,,,,
455,,,,,,,,,Vandals Sack Rome,In response to denial marry daughter of Valentinian 3,,,,,,,,
457,,,,474,,,,,Leo 1 emporer,"Leo 1 'the Thracian' is emporer of the eastern roman empire. First to be crowned by the patriarch. He is essentialy appointed by Aspar, the Alan commander of the army, who thought Leo would be an easy puppet to rule. However Leo is capable and has Aspar assissinated eventualy.",,,,,,,,
474,1,19,,,,,,,Leo 2 emporer,"Leo 2 made emporer as a child of 7. He is very sickly and soon dies, he is made co-ruler with Zeno, who has the actual power.",,,,,,,,
474,11,10,,,,,,,Zeno emporer,"After Leo 2 dies, possibly poisoned, possibly just died. Zeno is now the sole holder of power, as a commander from Isauria he is not popular.",,,,,,,,
475,1,,,,,,,,Coup on Zeno,"Zeno is forced out of Constantinople after his mother in law told him about a coup. His mother in law then shortly takes power, along with other conspirators. Zeno flees to his homeland of Isauria.",,,,,,,,
476,8,,,,,,,,Zeno retakes throne,"Zeno besieges Constantinople, senators open the gates for him and he is back on the throne. Conspirators of Basiliscus are killed.",,,,,,,,
476,9,,,,,,,,Odoacer takes over Italy,The barbarian Odoacer establishes his rule over the kingdom of italy.,,,,,,,,
479,,,,502,,,,,Southern Qi Dynasty,Southern dynasty,,,,,,China,,
482,,,,,,,,,Henotikon established,"Zeno attempts to unite orthodox christians and Monophysites under an 'act of union'. This diplomatically establishes the two positions as legitimate, it is not effective.",,,,,,,,
484,,,,,,,,,Acacian schism,"The patriarch of Constantinople and the pope in rome excommunicate each other, causing a schism in the church. They diasgree on the Miaphytism.",,,,,,,,
487,,,,,,,,,Zeno pushes goths to italy,"Zeno steers the Goths towards Italy, getting their king Theoderic to take the ostrogoths to italy and invade Odoacer. This removes the germanic presence in the east.",,,,,,,,
491,,,,,,,,,Anastasius 1 emporer,"Zeno dies of dysentery. Zeno's widow choses and helps Anastasius into power, who is already 60 by the time of his ascension. Anastasius's rule is marked by sound financial policy, and leaving the government with a budget surplus. He returned to paying people in coin instead of in goods as this allowed for easier accoutning and less transport and embezzlement.",,,,,,,,
493,2,2,,,,,,,Theoderic kills Odoacer,"After beating Odoacer in several battles, a treaty is signed assuring that both would rule Italy. During the banquet to celebrate this, Theoderic takes out his sword and strikes Odoacer in the collarbone, killing him.",,,,,,,,
496,,,,,,,,,Clovis converts christianity,"Clovis 1, ruler over much of modern France, converts to Christianity.",,,,,,,,
502,,,,557,,,,,Liang dynasty,Southern dynasty,,,,,,China,,
502,,,,505,,,,,Sassanids invade east,"Sassanids invade Theodosiopolis and Amida, they are quickly driven back and a white peace is established. After this the fortress of Daras is established.",,,,,,,,
513,,,,,,,,,"Monophysite enforced in Constantinople, riots","Anastasius is friendly towards the Monophysites, and tries to install it in the liturgies of Constantinople. The people do not take kindly to this and riot, Anastasius is said to have put his life in their hands and calmed them down this way.",,,,,,,,
518,,,,,,,,,Justin 1 emporer,"After Anastasius dies at the age of 87, Justin 1 sneaks in to being emporer. Justin is the only one who commands troops in the city and distributes some gifts of money to make himself emporer. He adopts his cousin Justinian.",,,,,,,,
527,8,1,,,,,,,Justinian 1 emporer,"Before this, Justinian was already made Caesar, and is naturally made emporer after Justin 1 dies of old age.",,,,,,,,
530,,,,,,,,,Battle of Dara,"In the Iberian war, Kavadh invades the east. Belisarius musters his forces. He is outnumbered but gets to pick where the battle happens, using a series of ditches to shield his infantry from cavalry attacks, he uses his sueprior hunic horse archers to defeat the Sassanid empire. Some 25,000 byzantines fight 50,000 Sassanid forces.",,,,,,,,
532,1,,,,,,,,Nika riots,"After an incident where deams were unsuccesfuly executed, and flee to a monestary. Justinians forces try to root the deams out from the monestary, however this causes the people to riot. Through several days of intense rioting, and senatorial backing the rioters try to appoint Hypatius, nephew of Anastasius. Justinian considered fleeing accross the sea but stays, his armed forces catch rioters in the Hippodrome, slaying some 30,000 civilians and Anastasius's nephews are executed.",,,,,,,,
534,,,,,,,,,Corpus Juris Civilis published,"Justinian set a commission to compile the roman laws into a single authorative document. The result is the 'body of civil law', it becomes widely referenced and spread as an authoritative source of law, and is at the basis of many modern law systems (such as those by Benjamin Franklin or by Napoleon).",,,,,,,,
535,,,,,,,,,Extreme cold,"A possible volcanic eruption in the tropics causes years of abnormally cold weather, mass famine ensues in the Northern hemisphere.",,,,,,,,
536,,,,,,,,,Siege of Naples,"Belisarius succesfully sieges Naples after subduing Sicily, on their way north to rome.",,,,,,,,
537,,,,,,,,,Hagia Sophia completed,"Built to be the most impressive church in the world, Justinian augers in this grand building. It is made too fast, and the roof collapses later. It takes around 10,000 workers some 5 years to complete.",,,,,,,,
537,March,2,,538,March,12,,,Siege of Rome,"After succesfully sieging Naples, Belisarius advances on Rome so fast the Goths abandon it. Belisarius takes the city, but is then besieged by Vitiges. Belisarius eventually beats the Goths and holds rome.",,,,,,,,
538,,,,,,,,,Battle of Camlann,Purported last battle of the legendary King Arthur.,,,,,,,,
539,,,,,,,,,Capture of Ravenna,"After Belisarius wins in Rome he heads to Ravenna, the capital of the Goths. Justinian wants to make a peace against impending Persian invasion, and offers peace terms to Goths. Belisarius finds the peace terms so lenient he refuses to sign them, against Justinians orders. The Goths offer to make Belisarius emporer of the western roman empire. He feigns acceptance, enters the city and occupies it, then denies the title. Back in Rome, Belisarius is denied a triumph.",,,,,,,,
540,,,,,,,,,Khosrau invades east,Khosrau sees that Justinian is tied up in Italy and breaks the 'eternal peace'. He and his forces invade and ransack the eastern part of the roman empire.,,,,,,,,
541,,,,,,,,,Weh Antiok Khusrau built,"Weh Antiok Khusrau, literally meaning ""better than Antioch Khosrau built this"", is built. This comes after Khosrau demolishes Antioch and ships its inhabitants to near Ctesiphon.",,,,,,,,
541,,,,543,,,,,Plague of Justinian,"Possibly coming from down the nile, the first great plague outbreak hits. It starts in Egypt and travels across the mediteranian. It mostly effects the Byzantine empire due to their trade network. Possibly 40% of the people living in Constantinople die. A third of the byzantines die in the plague. As one of the first outbreaks of the bubonic plague it kills 25 to 50 million people, or at least 13% of the world population.",,,,,,,,
541,,,,546,,,,,Goths recapture Italy,"Totila beats the romans in two decisive battles at Faventia and Mucellium. Taking advantage of the plague, forces committed to the east and rivaling generals he manages to retake most of Italy. Belisarius comes back in 544 but does not manage to hold Rome.",,,,,,,,
547,,,,,,,,,Belisarius recaptures Rome,,,,,,,,,
549,,,,,,,,,Goth siege of Rome,"The Goths under Totila again siege Rome, this time they beat the Byzantines. Totila tries to make peace with Justinian but is rejected.",,,,,,,,
552,,,,,,,,,Buddhism introduced Japan,Buddhism is first introduced into Japan from Baekje.,,,,,,,,
552,,,,,,,,,Justinian Hispania campaign,Justinian sends 2000 men to help Athanagild against King Agalia 1. This succeeds and nominally makes southern spain part of the roman empire again.,,,,,,,,
557,,,,589,,,,,Chen dynasty,,,,,,,China,,
559,,,,,,,,,Belisarius defends against Bulgars,Belisarius comes out of retirement to help defend against a Bulgar invasion. His outnumbered forces drive off the Bulgars at the battle of Malanthius.,,,,,,,,
565,11,14,,,,,,,Justinian dies,"Nephew of Justinian, Justin 2 takes over.",,,,,,,,
568,,,,,,,,,Lombards invade Italy,The Lombards start to establish themselves in Italy.,,,,,,,,
570,,,,,,,,,Birth of Muhammad,,,,,,,,,
572,,,,,,,,,Persian-Byzantine war,"After Justin refuses to pay tribute to Persia, Khosrau invades the east.",,,,,,,,
572,,,,591,,,,,Byzantine-Sasanian War,,,,,,,,,
573,,,,,,,,,Siege of Dara,"After 4 months, the important border fortress of Dara is surendered to Sasanian Persians. Reportedly this drives Justin 2 mad.",,,,,,,,
574,,,,,,,,,Justin pays of Avars,"After an invasion by the Avars, Justin is forced to pay them to leave because he is unable to beat them.",,,,,,,,
574,,,,,,,,,Tiberius new emporer,"After Justin 2 is declared mad, Tiberius is first made Caesar and then emporer. He pays Khosrau for a temporary truce, and gives money to the people of Constantinople.",,,,,,,,
580,,,,,,,,,Byzantines invade Persia,"The byzantines under the general Maurice now raid well into Persia, reaching to the capital Ctesiphon.",,,,,,,,
581,,,,618,,,,,Sui dynasty,Reunified north-south china,,,,,,China,,
591,,,,,,,,,Maurice installs Khosrau 2,"After a Sassanian civil war, Maurice sees an opportunity in the son Khosrow 2 who flees to Byzantium. Maurice installs Khosrau, who has low legitimacy because he was backed by the byzantines. But good relations for the moment.",,,,,,,,
602,,,,,,,,,Phocas usurps power,"Phocas takes an army in revolt against Maurice, marches on Constantinople, is let in and kills Maurice. Takes over as a poor leader.",,,,,,,,
602,,,,628,,,,,Great Byzantine-Sasanian war,Khosrow 2 invades the eastern provinces to prove his legitimacy in battle. This war drags on for a long long time.,,,,,,,,
608,,,,,,,,,Plague returns to Byzantium,Another plague outbreak hits Byzantium,,,,,,,,
610,,,,,,,,,Heraclius new emporer,"Heraclius, the Exarch of Africa, invades and takes Egypt, and then is let into constantinople and kills Phocas. Becomign the new emporer.",,,,,,,,
614,,,,,,,,,Sack of Jerusalem,Shahrbaraz occupies and sacks Jerusalem.,,,,,,,,
618,,,,,,,,,Grand Canal Finished (China),,,,,,,China,,
618,,,,907,,,,,Tang dynasty,"Golden period in China, territory rivals Han dynasty. Largest city in the world is capital modern day Xi'an.",,,,,,China,,
618,,,,,,,,,Sasanids take Egypt,"Shahrbaraz takes Egypt, this is somewhat easy after they seperate Byzantium by taking Syria.",,,,,,,,
620,,,,,,,,,Sasanids take Anatolia,"The Sasanids take Anatolia all the way up to the Helluspont, taking over several islands and threatening an invasion of Constantinople.",,,,,,,,
621,,,,,,,,,Heraclius rumoured to move Carthage,"Heraclius is rumoured to be moving his capital to Carthage instead of Constantinople. Possibly this is spread by himself, as he does not do it and cancels the free grain dole to reserve money for war. He also 'borrows' the wealth of the church.",,,,,,,,
622,,,,632,,,,,Muhammad conquers Arabian Peninsula,,,,,,,,,
622,,,,,,,,,Heraclius marches towards Armenia,"Heraclius assembles all of the Byzantine troops into a single army and marches towards Armenia to strike towards Persian heartlands, to hopefully force them to defend. This focuses all forces on a single gambit, if this force loses the empire is over. He heads the forces himself.",,,,,,,,
622,,,,,,,,,Heraclius beats Shahrbaraz,"In a battle somewhere, Heraclius's armies beat the persians.",,,,,,,,
622,11,,,,,,,,Heraclius pays tribute to Avars,"Having concentrated his forces in the east, he must pay of the Avars to secure peace.",,,,,,,,
624,,,,,,,,,Heraclius invades Persia,Heraclius advances past Armenia and burns the famous fire temple Takht-i-Suleiman.,,,,,,,,
625,,,,,,,,,Heraclius victorious at lake Van,"Around lake Van, Heraclius wins several battles against Sasanid forces.",,,,,,,,
626,,,,,,,,,Siege of Constantinople of 626,"The avars, making a deal with Khosrau, besiege Constantinople. Around 80,000 Avars and Slavs try to storm the walls of constantinople for two days. However the Theodosian walls holds, and the Avars have to back away. Morale in constantinople remains high.",,,,,,,,
626,,,,,,,,,Byzantine-Turkic alliance,"Heraclius makes allies with a Turkic Khagan called Tong Yabghu, to bolster his forces to raid into Persia.",,,,,,,,
627,,,,,,,,,Battle of Nineveh,"Heraclius beats Sasanid forces under Rhahzadh, and wins the last battle of the great Byzantine-Sasanian war.",,,,,,,,
628,2,28,,,,,,,Khosrau 2 killed,"Khosrau 2 is killed for losing the war, his family member Khavad 2 is installed who shortly dies of the plague. All borders including Daara are restored with the Byzantine empire.",,,,,,,,
630,4,,,,,,,,Shavaraz takes over Sasanians,"After sending an order to Shavaraz to be killed, he instead rebels and takes over power from Ardashir 3.",,,,,,,,
636,August,,,,,,,,Battle of Yarmouk,"First battle between muslim forces and Byzantine forces. Despite their numerical advantage, the Muslims beat the Byzantine forces. Muslim commander Kahlid ibn al-Walid is victorious.",,,,,,,,
636,11,16,,,,,,,Battle of Al-Qadisiyyah,"Arab muslims decisively beat Sasanid forces, quickly letting them take over the Sasanid empire.",,,,,,,,
641,,,,,,,,,"Heraclius dies, Constans 2 rules","After Heraclius dies, his two sons become emporers. Fortunately the older son dies after 4 months, and Heraklonas, his 14 year old son becomes emporer. Heraklonas is quickly overthrown by the armenian general Valentinus and Constans 2 is installed.",,,,,,,,
642,,,,,,,,,Muslims conquer Egypt,"Muslims under Amr ibn al-'As take over Egypt, quickly and decisively.",,,,,,,,
645,,,,,,,,,Byzantine attempt at Egypt fails,The Byzantines try to launch a fleet to take back Egypt.,,,,,,,,
646,,,,,,,,,"African Exarch rises up, dies","Gregory the Patrician rises up in the province of Africa. He faces an Arab invasion and is killed in battle. After this Africa is still nominally in control by Byzantium, but not de facto.",,,,,,,,
646,,,,,,,,,Pre-Cairo founded,"The capital of Egypt is moved away from Alexandria at the coast, to be less vulnerable to any byzantine invasion.",,,,,,,,
654,,,,,,,,,Battle of the Masts,"The arab muslims under Abu'l-Awar defeat the Byzantine fleet under Constans 2. Place under southern Anatolya, Arabs and Byzantines fight for naval control.",,,,,,,,
656,July,,,,,,,,"Uthman killed, civil war","The Caliph Uthman, who had overseen much conquest, is killed in Egypt.",,,,,,,,
656,,,,661,,,,,First Fitna,"After Uthman is killed, a civil war takes place in the Rashidun Caliphate. At the end Muawiyah establishes the Umayyad Caliphate. During this time the Arabs pay tribute to Byzantium.",,,,,,,,
668,,,,,,,,,"Constans 2 killed, Constantine 4 rules","Constans the 2 is killed by his chamberlain, after being rumoured to move his capital to Syracuse. His son quickly takes over.",,,,,,,,
680,10,10,,,,,,,Battle of Karbala,Husayn ibn Ali sacrifices himself to god along with some 110 others against a much larger army. One of the seminal events in Shia islam.,,,,,,,,
680,,,,,,,,,Sixth Ecumenical Council,"A ecumenical council is called to condemn monoenergism and monothelitism, it defines jesus as having to energies and two wills.",,,,,,,,
685,,,,,,,,,Justinian 2 takes over,"Constantine IV dies a natural death, and his son Justinian 2 takes over. Justinian 2 is as ambitious as Justinian, but responds poorly to the will of the people.",,,,,,,,
686,,,,,,,,,Byzantine raids Arabs,Justinian 2 manages to increase the tribute from the Arabs and get back control of a part of Cyprus.,,,,,,,,
687,,,,,,,,,Slavs resettled Anatolia,"Justinian 2 forcibly resettles a large amount of slavs that he had defeated in the balkans, towards Anatolia. There they are to provide a military force of 30,000 men.",,,,,,,,
692,,,,,,,,,Slavs defect at Sebastopolis,"At the battle of Sebastopolis, where the Byzantine empire fights the Umayyads, the slavs defect to the Umayyads which gives the arabs victory.",,,,,,,,
695,,,,,,,,,"Leonitos emporer, Justinian 2 exiled","The people of constantinople, under Leontios rise up and depose Justinian 2. They depose Justinian and cut his nose off, exile him to Crimea.",,,,,,,,
695,,,,717,,,,,Twenty Years Anarchy,"Byzantium has 7 emporers in 20 years, with multiple seizures of power, much of Anatolia falls to the arabs in preparation for the seizure of constantinople.",,,,,,,,
698,,,,,,,,,Apsimaros seizes power,"Apsimaros seizes power in constantinople. He had been sent to take back Carthage, failed, and he was likely to be killed. Instead of dying, he attempts to seize power and succeeds.",,,,,,,,
705,,,,,,,,,Justinian 2 retakes power,"After a lengthy 10 year exile, adventures in Crimea, alliances with Khans, Justinian 2 marches on Constantinople. They entered the city through an unused water conduit. He is restored to power and mutilates his rivals.",,,,,,,,
711,,,,,,,,,Umayyad Caliphate raids Visigoth Spain,The visigoth kingdom has been weakened by civil war and so the Umayyad Caliphate sees a good opportunity.,,,,,,,,
711,,,,,,,,,Vardan seizes power,"Vardan, or Bardanes, or renamed Philippicus, incites a rebellion in Cherson and then Constantinople whilst Justinian 2 is travelling to Armenia. Justinian cannot get support in the countryside and is assasinated.Vardan abolishes the Sixth Ecumenical Council and restores Monoenergism.",,,,,,,,
