Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Period,Background
193,7,,,,,,,,Praetorian guard disbanded,Severus disbands the Praetorian guard that had killed Pertinax and auctioned off the emporership. The members are forbidden to ever come near rome again. He increased the size of the Praetorian guard and made it consist of the best soldiers of the empire. This saps the border legions of their best men.,,,,,,,,
194,,,,,,,,,Battle of Issus,"Forces under Severus, commanded by Anullinus, manage to narrowly beat Niger. Niger tries to flee but fails and is beheaded.",,,,,,,,
197,2,19,,,,,,,Battle of Lugdunum,"Clodius Albinus finally figures he has been betrayed after Severus names a different heir that is not Albinus. Ablinus musters a large forces and starts marching towards rome. The two forces meet near Lugdunum or modern Lyon. Ancient sources give 150,000 legionaries against 150,000, with modern around 75,000 against 75,000. The battle raged two days with many shifts back and forth, was one of the largest encounters between romans ever.",,,,,,,,
205,1,,,,,,,,Plautianus executed,"The powerful Praetorian Prefect has a lot of influence over Severus after 197. Until a denouncement by the emporer's dying brother, Plautianus de-facto rules in the empire.",,,,,,,,
208,,,,211,2,4,,,British military campaign,"Severus campaigns to quell and conquer scotish peoples, he takes his sons Caracala and Getta with him to try and teach them manners.",,,,,,,,
211,,,,217,,,,,Caracalla,,,,,,era,,,
211,12,19,,,,,,,Caracalla murders Geta,"Caracalla has his brother Geta murdered at a reconciliation meeting arranged by their mother, whilst their mother watches. Afterwards Caracalla orders a damnatio memoriae (ordered by a forced senate), and in some of the largest purges yet around 20,000 people are killed, those being Geta's friends, advisors or military staff under his employ.",,,,,,,,
212,,,,,,,,,Constitutio Antoniniana,"Caracalla gives every free man in the Roman Empire citizenship. This tries to increase state revenue, by creating more tax paying citizens but this still gives some measure of standing to those citizens.",,,,,,,,
215,,,,,,,,,Caracalla plunders Alexandria,"Alexandria, a roman city, is plundered by the roman emporer Caracalla. They had put on a play that mocked Caracalla's murder of his brother ('in self-defence'). His troops loot Alexandria for several days.",,,,,,,,
217,,,,218,,,,,Macrinus,,,,,,era,,,
218,,,,222,,,,,Elegabalus,,,,,,era,,,
220,,,,280,,,,,Three kingdoms,,,,,,,China,,
222,,,,235,,,,,Severus Alexander,,,,,,era,,,
230,,,,232,,,,,Rome-Persian War,"Adrashir I, having established himself as ruler of the new sasanian empire, seeks a war of expansion against Rome. Rome under Severus Alexander has a lackluster defense, 2 columsn are sent to flank the sasanid empire but Alexander in the middle column provides no pressure and the campaign fails. A unofficial white truce results and Alexander celebrates a triumph in rome. ",,,,,,,,
235,,,,270,,,,,Crisis of the Third Century,,,,,,era,,,
235,5,20,,,,,,,Maximinius Thrax kills Alexander,"Leading an uprising, Maximinus Thrax kills Alexander. He has popular support from the armies because Alexander is seen as a coward due to his negotiations and stalling. Using this Thrax becomes the first 'barbarian' emporer of Rome, scorning the senators and instead using the army where he is much loved. He would double the pay for his soldiers, which required a large tax increase.",,,,,,,,
238,3,22,,238,4,12,,,Gordians rise up,"The procurator of Africa, Gordian 1 and his son Gordian 2 rise up in africa against Thrax. The Senate supports them but they don't have an army in Africa and are killed. Leaving 1 Gordian in rome. Gordian could do this because he was famous for the lavish games he threw in his past.",,,,,,,,
238,4,22,,,,,,,Pupienus and Balbinus declare revolt,"Having declared support of the Gordians, 2 senators in Rome are elected augustus, with Gordian III seleted as Caesar to appease the people.",,,,,,,,
238,5,,,,,,,,"Siege of Aquileia, death of Thrax","The soldiers of Thrax siege Aquileia which has shut its gates. During this siege the soldiers become discontent and kill Thrax, afterwards have no plan.",,,,,,,,
241,,,,,,,,,Gordian III marries daughter prefect,"Timesitheus is made praetorian prefect and Gordian III marries his daughter, making him the most powerful man in the empire.",,,,,,,,
243,,,,,,,,,Battle of Resaena,After Shapur I invades the Roman empire and takes several cities the Romans organise a large response. Timesitheus and Gordian III beat Shapur at this battle.,,,,,,,,
243,,,,,,,,,Timesitheus dies,"Philip 'the arab' is made Praetorian prefect, possibly killed Timesitheus.",,,,,,,,
244,,,,,,,,,Battle of Misiche,"The Romans and Sasanians fight again, Shapur decisively beats the Romans on Sasanid ground near modern Fallujah. Somewhere in this Gordian dies, possibly in battle but romans say by his officers. Philip the arab becomes emporer.",,,,,,,,
247,,,,,,,,,Ludi Saeculares,"Rome celebrates it's 1000th anniversary, the celebrations are led by Philip the arab. Over 1000 gladiators die.",,,,,,,,
249,,,,,,,,,Battle of Verona,"Decius, having been sent to Moesia to quell unrest and rebelion, takes over the rebellion and kills Philip the arab.",,,,,,,,
251,8,,,,,,,,Battle of Abritus,"In Moesia Inferior, modernday Razgrad, Bulgaria, the roman empire under Decius fights against the gothic leader Cniva. Decius' army is caught by surprise by soldiers concealed in a swamp. Decius dies and is the first roman emporer to be killed by a foreign army. Trebonianus Gallus made emporer by army, Hostillian made emporer by senate, they come a peaceful arrangement of co-emporership.",,,,,,,,
251,11,,,,,,,,Hostilian dies,"Hostilian dies of the Cyrpian plague, first emporer to die of natural causes in 40 years.",,,,,,,,
253,,,,,,,,,Battle of Barbalissos,"Shapur I annihilates a force of 60,000 romans near Aleppo.",,,,,,,,
253,,,,,,,,,Aemilianus emporer,Aemilianius is aclaimed by Moesian troops as emporer after he beats the invading Goths. Takes his troops to rome and kills Gallus.,,,,,,,,
253,,,,,,,,,Valerian emporer,Velerian proclaimed emporer and Moesian troops kill Aemilianus.,,,,,,,,
254,,,,,,,,,"Valerian heads east, Galienus caesar","Valerian heads east to deal with the invasion of Shapur I, makes his son Galienus caesar.",,,,,,,,
257,,,,,,,,,Valerian recaptures Antioch,,,,,,,,,
258,,,,260,,,,,Alamanni invade,Gallienus has to deal with an invasion of the Alamanni. They get as far Rome but are repelled.,,,,,,,,
259,,,,,,,,,Battle of Mediolanum,"Gallienus beats the retreating Alemanni, delivering total defeat. This invasion however scares the Romans of italy and reveals the weakness of the border defense.",,,,,,,,
260,,,,,,,,,Battle of Edessa,"Shapur I defeats roman forces under Valerian and captures Valerian. Defeating all the roman forces, Valerian becomes the first captured emporer. one of the worst disasters in roman military history.",,,,,,,,
260,9,,,,,,,,Postumus rules north west,"Postumus raises the flag of rebellion and starts his rule over Britain, Spain, parts of Germania and Gaul.",,,,,,,,
262,,,,,,,,,Odaenathus rules east,"Odaenathus repels Shapur I in a series of brilliant battles. In theory he paid service to the emporer and was subservient but was de facto and independant ruler of the Levant, Mesopotamia and eastern Anatolia.",,,,,,,,
267,,,,,,,,,"Odaenathus killed, Zenobia rules","Zenobia rules in her sons Vaballathus' stead, as he is still young. Odaenathus is killed by assassins.",,,,,,,,
268,,,,,,,,,Battle of Naissus,Claudius Gothicus routes a massive goth invasion.,,,,,,,,
268,,,,,,,,,Gallienus killed,"Gallienus is murdered by assassins, Claudius is the new emporer.",,,,,,,,
270,,,,275,,,,,Aurelian,,,,,,era,,,
270,10,,,,,,,,Aurelian kills Quintillus,Quintillus rose up after the death of Claudius.,,,,,,,,
270,1,,,,,,,,Claudius dies,"Claudius dies of the Cyrpian plague, Quintillus (his brother) tries to grab power.",,,,,,,,
271,,,,,,,,,Aurelian walls ordered built,,,,,,,,,
271,,,,,,,,,Battle of Placentia,Aurelian defeated in an ambush by the Juthungi.,,,,,,,,
271,,,,,,,,,Battle of Fano,Aurelian defeats a force of Juthungi who were moving to defenseless rome.,,,,,,,,
271,,,,,,,,,Dacia abandoned,"Rome pulls back from Dacia, marking the shrinkage of the Roman Empire. ",,,,,,,,
272,,,,,,,,,Aurelian reconquers Palmyrene Empire,"After a brief campaign through eastern rebel cities, Aurelian gives pardons to the first city he sieges. The rest quickly surrender. Palmyra is captured and Zenobia and her son are dragged out in chains.",,,,,,,,
273,,,,,,,,,Library of alexandria burned,"Aurelian's conquest of Alexandria burned down a part of the city housing the library of alexandria, possibly destroying a large section of the library.",,,,,,,,
273,,,,,,,,,"Palmyra revolts, is leveled",Palmyra is destroyed and its citizens are dragged off to live elsewhere after it revolts again.,,,,,,,,
274,,,,,,,,,Gallic Empire reconquered,Aurelian reconquers the Gallic provinces after their leader Tetricus defects.,,,,,,,,
275,,,,276,6,,,,Tacticus,,,,,,era,,,
275,,,,,,,,,Aurelian murdered,Aurelian is murdered by his generals after they fear he will kill them first after a forged document is published that shows they are to be executed.,,,,,,,,
276,6,,,276,9,,,,Florian,,,,,,era,,,
276,9,,,282,9,,,,Probus,,,,,,era,,,
280,,,,420,,,,,Jin dynasty,(Started in 265 when most of Jin conquest was completed),,,,,,China,,
282,9,,,283,8,,,,Carus,,,,,,era,,,
283,8,,,284,11,,,,Numerian/Carinus,,,,,,era,,,
284,11,,,285,7,,,,Carinus v Diocletian,,,,,,era,,,
285,7,,,305,3,1,,,Diocletian,,,,,,era,,,
285,,,,,,,,,Battle of Margus,Diocletian decisive victor and emporer of rome,,,,,,,,
286,4,1,,305,3,1,,,Maximian junior augustus,Constantius 1/Galerius Caesars,,,,,,,,
286,,,,,,,,,Capital becomes Milan,,,,,,,,,
293,,,,,,,,,Galerius and Constantius made Caesars,"2 junion caesars are appointed next to Maximian and Diocletian, making for 4 emporers, 2 junior and 2 senior.",,,,,,,,
296,,,,,,,,,Constantius reclaims britain,The father of constantine reclaims Britain for the roman empire.,,,,,,,,
298,,,,,,,,,Battle of Satala,Galerius beats sassanid empire,,,,,,,,
305,3,1,,311,3,,,,Galerius,,,,,,era,,,
305,3,1,,306,6,25,,,Constantius 1 Co-Augustus,Untill he dies of natural causus,,,,,,,,
305,,,,,,,,,Diocletian retires,"The only emporer to ever voluntarily abdicate, Diocletian retires after a long bout with disease to go farm cabages.",,,,,,,,
306,6,,,307,4,,,,Severus 2 Co-Augustus,,,,,,,,,
306,7,25,,324,10,18,,,Constantine rules west,,,,,,,,,
306,10,28,,312,10,28,,,Maxentius rules Italy,Defeated by constantine,,,,,,,,
308,11,11,,324,10,18,,,Licinius rules east,,,,,,,,,
309,,,,379,,,,,Shapur II reigns Sasanids,"An eternal enemy of the romans, he waged many wars against the roman empire from constantine to Theodosius",https://en.wikipedia.org/wiki/Shapur_II,,,,,,,
312,10,28,,,,,,,"Milvian Bridge Battle
",Constantine beats Maxentius,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Battle_at_the_Milvian_Bridge%2C_G%C3%A9rard_Audran_after_Charles_Le_Brun%2C_1666-crop.jpg/800px-Battle_at_the_Milvian_Bridge%2C_G%C3%A9rard_Audran_after_Charles_Le_Brun%2C_1666-crop.jpg
324,10,18,,337,3,22,,,Constantine the Great,,,,,,era,,,
324,,,,,,,,,Constantinople founded,,,,,,,,,
325,,,,,,,,,First Council of Nicaea,,,,,,,,,
374,,,,,,,,,Ambrose elected bishop of Milan,"By popular pronouncement, without any churchly experience or even being baptised.",,,,,,,,
378,8,9,,,,,,,Battle of Adrianople,,,,,,,,,
379,1,19,,392,,,,,Theodosius rules East,,,,,,,,,
383,,,,388,,,,,Magnus Maximus rules West,,,,,,,,,
395,,,,,,,,,Theodosius last emporer of whole roman empire,,,,,,,,,
401,,,,,,,,,Capital becomes Ravenna,,,,,,,,,
410,,,,,,,,,Sack of Rome,,,,,,,,,
417,,,,,,,,,Goths settle Aquitania,,,,,,,,,
420,,,,479,,,,,Liu Song dynasty,"Southern dynasty, north divided into number of states",,,,,,China,,
433,,,,454,,,,,Aetius rules Western Empire,,,,,,,,,
434,,,,,,,,,Attila king of Huns,,,,,,,,,
442,,,,,,,,,Vandal Kingdom recognized,North Africa conquered,,,,,,,,
455,,,,,,,,,Vandals Sack Rome,In response to denial marry daughter of Valentinian 3,,,,,,,,
457,,,,474,,,,,Leo 1 emporer,"Leo 1 'the Thracian' is emporer of the eastern roman empire. First to be crowned by the patriarch. He is essentialy appointed by Aspar, the Alan commander of the army, who thought Leo would be an easy puppet to rule. However Leo is capable and has Aspar assissinated eventualy.",,,,,,,,
474,1,19,,,,,,,Leo 2 emporer,"Leo 2 made emporer as a child of 7. He is very sickly and soon dies, he is made co-ruler with Zeno, who has the actual power.",,,,,,,,
474,11,10,,,,,,,Zeno emporer,"After Leo 2 dies, possibly poisoned, possibly just died. Zeno is now the sole holder of power, as a commander from Isauria he is not popular.",,,,,,,,
475,1,,,,,,,,Coup on Zeno,"Zeno is forced out of Constantinople after his mother in law told him about a coup. His mother in law then shortly takes power, along with other conspirators. Zeno flees to his homeland of Isauria.",,,,,,,,
476,8,,,,,,,,Zeno retakes throne,"Zeno besieges Constantinople, senators open the gates for him and he is back on the throne. Conspirators of Basiliscus are killed.",,,,,,,,
476,9,,,,,,,,Odoacer takes over Italy,The barbarian Odoacer establishes his rule over the kingdom of italy.,,,,,,,,
479,,,,502,,,,,Southern Qi Dynasty,Southern dynasty,,,,,,China,,
482,,,,,,,,,Henotikon established,"Zeno attempts to unite orthodox christians and Monophysites under an 'act of union'. This diplomatically establishes the two positions as legitimate, it is not effective.",,,,,,,,
484,,,,,,,,,Acacian schism,"The patriarch of Constantinople and the pope in rome excommunicate each other, causing a schism in the church. They diasgree on the Miaphytism.",,,,,,,,
487,,,,,,,,,Zeno pushes goths to italy,"Zeno steers the Goths towards Italy, getting their king Theoderic to take the ostrogoths to italy and invade Odoacer. This removes the germanic presence in the east.",,,,,,,,
491,,,,,,,,,Anastasius 1 emporer,"Zeno dies of dysentery. Zeno's widow choses and helps Anastasius into power, who is already 60 by the time of his ascension. Anastasius's rule is marked by sound financial policy, and leaving the government with a budget surplus. He returned to paying people in coin instead of in goods as this allowed for easier accoutning and less transport and embezzlement.",,,,,,,,
493,2,2,,,,,,,Theoderic kills Odoacer,"After beating Odoacer in several battles, a treaty is signed assuring that both would rule Italy. During the banquet to celebrate this, Theoderic takes out his sword and strikes Odoacer in the collarbone, killing him.",,,,,,,,
496,,,,,,,,,Clovis converts christianity,"Clovis 1, ruler over much of modern France, converts to Christianity.",,,,,,,,
502,,,,557,,,,,Liang dynasty,Southern dynasty,,,,,,China,,
502,,,,505,,,,,Sassanids invade east,"Sassanids invade Theodosiopolis and Amida, they are quickly driven back and a white peace is established. After this the fortress of Daras is established.",,,,,,,,
513,,,,,,,,,"Monophysite enforced in Constantinople, riots","Anastasius is friendly towards the Monophysites, and tries to install it in the liturgies of Constantinople. The people do not take kindly to this and riot, Anastasius is said to have put his life in their hands and calmed them down this way.",,,,,,,,
518,,,,,,,,,Justin 1 emporer,"After Anastasius dies at the age of 87, Justin 1 sneaks in to being emporer. Justin is the only one who commands troops in the city and distributes some gifts of money to make himself emporer. He adopts his cousin Justinian.",,,,,,,,
527,8,1,,,,,,,Justinian 1 emporer,"Before this, Justinian was already made Caesar, and is naturally made emporer after Justin 1 dies of old age.",,,,,,,,
530,,,,,,,,,Battle of Dara,"In the Iberian war, Kavadh invades the east. Belisarius musters his forces. He is outnumbered but gets to pick where the battle happens, using a series of ditches to shield his infantry from cavalry attacks, he uses his sueprior hunic horse archers to defeat the Sassanid empire. Some 25,000 byzantines fight 50,000 Sassanid forces.",,,,,,,,
532,1,,,,,,,,Nika riots,"After an incident where deams were unsuccesfuly executed, and flee to a monestary. Justinians forces try to root the deams out from the monestary, however this causes the people to riot. Through several days of intense rioting, and senatorial backing the rioters try to appoint Hypatius, nephew of Anastasius. Justinian considered fleeing accross the sea but stays, his armed forces catch rioters in the Hippodrome, slaying some 30,000 civilians and Anastasius's nephews are executed.",,,,,,,,
534,,,,,,,,,Corpus Juris Civilis published,"Justinian set a commission to compile the roman laws into a single authorative document. The result is the 'body of civil law', it becomes widely referenced and spread as an authoritative source of law, and is at the basis of many modern law systems (such as those by Benjamin Franklin or by Napoleon).",,,,,,,,
535,,,,,,,,,Extreme cold,"A possible volcanic eruption in the tropics causes years of abnormally cold weather, mass famine ensues in the Northern hemisphere.",,,,,,,,
537,,,,,,,,,Hagia Sophia completed,"Built to be the most impressive church in the world, Justinian augers in this grand building. It is made too fast, and the roof collapses later. It takes around 10,000 workers some 5 years to complete.",,,,,,,,
538,,,,,,,,,Battle of Camlann,Purported last battle of the legendary King Arthur.,,,,,,,,
541,,,,,,,,,Plague of Justinian,"One of the first outbreaks of the bubonic plague kills 25 to 50 million people, or at least 13% of the world population.",,,,,,,,
541,,,,,,,,,Weh Antiok Khusrau built,"Weh Antiok Khusrau, literally meaning ""better than Antioch Khosrau built this"", is built. This comes after Khosrau demolishes Antioch and ships its inhabitants to near Ctesiphon.",,,,,,,,
552,,,,,,,,,Buddhism introduced Japan,Buddhism is first introduced into Japan from Baekje.,,,,,,,,
557,,,,589,,,,,Chen dynasty,,,,,,,China,,
570,,,,,,,,,Birth of Muhammad,,,,,,,,,
581,,,,618,,,,,Sui dynasty,Reunified north-south china,,,,,,China,,
616,,,,629,,,,,Muslim conquest of Egypt,,,,,,,,,
618,,,,,,,,,Grand Canal Finished (China),,,,,,,China,,
618,,,,907,,,,,Tang dynasty,"Golden period in China, territory rivals Han dynasty. Largest city in the world is capital modern day Xi'an.",,,,,,China,,
622,,,,632,,,,,Muhammad conquers Arabian Peninsula,,,,,,,,,
680,10,10,,,,,,,Battle of Karbala,Husayn ibn Ali sacrifices himself to god along with some 110 others against a much larger army. One of the seminal events in Shia islam.,,,,,,,,
711,,,,,,,,,Umayyad Caliphate raids Visigoth Spain,The visigoth kingdom has been weakened by civil war and so the Umayyad Caliphate sees a good opportunity.,,,,,,,,
717,,,,718,,,,,Siege of Constantinople,"Arab muslims under the Umayyad Caliphate besiege Constantinople. Intitially they have won battles over Byzantine troops, and over the Byzantine navy. However, over the course of a year they have their supply ships burned by greek fire, have Bulgars attack them from Thrace. A resupply mission is killed by their christian crews. The Umayyads must retreat. This marks the first great defeat of the growing arab muslim unified empire, and they give up the conquest of Byzantine territories. Arab muslims have forces in the 120,000 men and 2,560 ships.",,,,,,,,
732,,,,,,,,,Battle of Tours,"Mercenary force of Frankish and Burgundian origin fights against the muslim Umayyad Caliphate, near Tours in central France. Stops Muslim expansion into central europe.",,,,,,,,
800,,,,,,,,,Charlemagne founds HRE,"The Holy Roman Empire (Not Holy, not Roman, not an Empire)",,,,,,,,
865,,,,,,,,,Great Heathen Army lands in England,"Combining vikings from Denmark, and some from Sweden and Norway. Vikings under command  of reportedly Hvitserk, Ivar the Boneless and either Ubba or Bjorn Ironside. They invade to conquer and settle in England. Establishing an area that would later be known as the danelaw.",,,,,,,,
871,1,8,,,,,,,Battle of Ashdown,"Alfred the great, then a prince under Aethelred, wins a victorious battle against the invading danes. The danes are a part of the great heathen army. Saxons are said to have around 1000 troops.",,,,,,,,
885,11,25,,886,10,,,,Siege of Paris,,,,,,,,,
907,,,,960,,,,,Five dynasties and ten kingdoms period,An unruly and uncentralized period,,,,,,China,,
918,,,,928,,,,,Rollo rules Normandy,"The first viking ruler over Normandy, marks the norse starting to become normans.",,,,,,,,
960,,,,,,,,,Fireworks appear in China,,,,,,,China,,
960,,,,1279,,,,,Song dynasty,,,,,,,China,,
1000,,,,,,,,,Norse ,,,,,,,,,
1054,,,,,,,,,Great Schism,Roman and Orthodox church split over theological and political differences. Such as whether to use leavened or unleavened bread in the Eucharist.,,,,,,,,
1066,,,,,,,,,Battle of Hastings,Normans now rule England,,,,,,,,
1095,,,,1099,,,,,First Crusade,,,,,,,,,
1095,7,,,1095,11,,,,Pope Urban recruitment drive,Pope Urban holds a series of speeches accross france to arouse in people a want to crusade towards the holy land.,,,,,,,,
1096,,,,1097,,,,,People's Crusade,"Led by Peter the Hermit, a 'army' or mob of 40'000 makes its way over with a destination of the holy land. They pillage lands in Byzantium, hold several fights. Eventually make it through an angry Byzantine Emporer Alexius. They make it to the borders of Byzantium and the turks but are vanquished in their first skirmish with the Turks.",,,,,,,,
1096,,,,,,,,,Rhineland massacres jews,Jewish Pogroms before the first crusade.,,,,,,,,
1096,11,,,1096,4,,,,Crusade gathers constantinople,"The crusader armies under Hugh of Vermandois, Godfrey, Raymond and Bohemond gather outside constantinople with relatively few incidents. The crusader princes are summoned to Emporer Alexius to pledge to give former Byzantine territories back to Byzantium. Army numbers around 30-35,000.",,,,,,,,
1097,5,14,,1097,6,19,,,Siege of Nicaea,Garisson eventually surrenders to the Byzantine emporer. Local sultan Arslan is first occupied with a territorial dispute untill it's too late.,,,,,,,,
1097,7,1,,,,,,,Battle of Dorylaeum,"Battle between the crusaders and the Suljuk Turks in Anatolia. It starts out with a large force of mounted turks against the vanguard of crusader forces led by Bohemond, untill later in the day when the main forces arrive. Crusaders manage to not chase the Turks and break their lines, instead standing fast and eventually manage to inflict even casualties on the Turks, leading to a decisive loss for the Turks (as their fighting number was smaller).",,,,,,,,
1097,10,21,,1098,6,2,,,Siege of Antioch,"At first the crusaders feast, but as the siege drags on it is they who are starving outside the walls. Large numbers of crusaders start deserting.",,,,,,,,
1098,6,3,,1098,6,28,,,Crusaders trapped in Antioch,"A large army of muslims arrive after the crusaders take Antioch, where they are now trapped inside and starving.",,,,,,,,
1098,6,28,,,,,,,Battle of Antioch,"Bolstered by 'finding' the 'holy lance', which is to have pierced Jesus in his side as he hung on the cross. This find raises morale, the crusaders go out to fight the muslim forces and manage to win against a larger force. The muslim forces quickly break in battle because of political infighting.",,,,,,,,
1098,11,,,,,,,,Siege of Ma'arrat,"A number of crusaders split off to siege Ma'arrat al-Numan and capture it following a siege, much plundering takes place and canibalism is rumoured to have taken place.",,,,,,,,
1099,6,7,,1099,7,15,,,Siege of Jerusalem,Crusaders have difficulties getting wood to build siege engines.,,,,,,,,
1099,7,15,,,,,,,Slaughter of Jerusalem,Many muslims inside Jerusalem are ruthelessly slaughtered as well as jews.,,,,,,,,
1099,7,22,,,,,,,Kindom of Jerusalem founded,Godfrey becomes first king of Jerusalem.,,,,,,,,
1104,,,,,,,,,Bohemont returns to Europe,"Bohemont returns to europe to start a recruitment drive for more crusaders to help, this time against Byzantium.",,,,,,,,
1108,,,,,,,,,Bohemont subject to Byzantium,"Byzantine empire proves to strong, Bohemont becomes a vassal and is exiled from the holy lands.",,,,,,,,
1119,6,28,,,,,,,Field of Blood,Crusader armies of Antioch are annihilated by muslim ruler of Aleppo. Weakening but not destroying Antioch.,,,,,,,,
1119,,,,,,,,,Knights Templar founded,,,,,,,,,
1144,11,24,,,,,,,Edessa falls to Zengi,The muslim ruler of Mosul and Aleppo conquers Edessa from the crusaders and puts the crusader states in a tough position.,,,,,,,,
1146,,,,1148,,,,,"Second Crusade
",,,,,,,,,
1146,3,1,,,,,,,2nd crusade Bill,The pope reissues a papall bull supporting a second crusade,,,,,,,,
1146,3,31,,,,,,,Bernard rouses for crusade,"Bernard of Clairvaux, on behalf of the pope, goes around France and Germany and rouses people into wanting to join the second crusade, fashioning crosses out of cloth and even getting nobility to join in the crusade",,,,,,,,
1147,5,,,,,,,,Germans/French depart,"The germans and 1 month later the French depart to constantinople by land for the second crusade. The French are led by Louis, king of france, the germans by ",,,,,,,,
1147,10,25,,,,,,,Germans routed Dorylaeum,"After the germans make it through the Byzantine empire and refuse to wait for the French, they march through arid desert land all the while being assaulted by Turks. Not having enough supplies and harassed by horse archers they take many casualties at the second battle of Dorylaeum. They stumble back out of the desert with around 90% casualty rate.",,,,,,,,
1147,11,,,,,,,,French move to Lycus,"Taking the route close to the coast, the French have a safter passage than the Germans. However they do face one large loss at the battle of Mount Cadmus, where the vanguard gets seperated from the rest of the forces and the Turks sneak in inbetween.",,,,,,,,
1148,3,,,,,,,,Louis arrives in Antioch,"After the army has been defeated at Mount Cadmus and harassed around Lycus the French nobles set out on ships from Lycus, leaving most of the rest of the troops behind to go overland. The peasants on the overland route nearly all die, whilst the nobility faces storms at sea. Eleanor joins Louis to Antioch and meets with her uncle, Raymond of Poitiers.",,,,,,,,
1148,6,24,,,,,,,Council of Acre,"Louis finally arrives in Jerusalem, and together with the regional christian rulers and the german king they meet to discuss what they want to do with the assembled forces, where to attack. The decision is strangely enough made to attack Damascus, the only friendly muslim state. By attacking Damascus, the only friendly muslims are alienated.",,,,,,,,
1148,7,23,,,,,,,Failed siege of Damascus,"The crusaders assemble to siege Damascus, intending to feed on the orchards outside Damascus. However then they reposition to the side without Orchards, run out of water, hear of a force of muslims coming to attack them and decide to retreat. Whilst retreating they are harassed by muslim horse archers.",,,,,,,,
1162,,,,,,,,,Genghis Khan born,"Temujin, one day the great khan and founder of the largest empire. He was born poor but a noble.",,,,,,,,
1189,,,,,,,,,Third Crusade,,,,,,,,,
1202,,,,,,,,,Fourth Crusade,,,,,,,,,
1203,,,,,,,,,Genghis beats Ong Khan and Mamukha,"Genghis beats the two biggest remaining leaders of Mongol tribes, who had teamed up against him fearing his power.",,,,,,,,
1204,,,,,,,,,Crusaders sack Constantinople,,,,,,,,,
1206,1,1,,1260,1,1,,,"Mongol Empire
",Genghis Khan devestates civilisations,,,,,era,,,
1206,,,,,,,,,Genghis sole ruler mongols,Genghis Khan is proclaimed ruler of 'all who dwell in felt tents'.,,,,,,,,
1209,,,,,,,,,Cambridge founded,After 2 researchers got executed at Oxford University,,,,,,,,
1211,,,,,,,,,Kuchlug takes over Khitai,Kuchlug takes over the Khitai empire. Soon it will be over run by the Mongols.,,,,,,,,
1213,,,,,,,,,Fifth Crusade,Defeat of Crusader forces,,,,,,,,
1215,,,,,,,,,Mongols sack Beijing,"Then called Zhongdu, the Mongols under Genghis besiege the city for 2 years. Upon capturing it the city is razed, a million people are killed for displaced.",,,,,,,,
1220,,,,,,,,,Mongols take Bukhara,"Not slaughtering the entire city, the mongols take Bukhara after 15 days of siege.",,,,,,,,
1220,3,,,,,,,,Mongols take Samarkand,"A city of around 100,000. When the defenders charge out, the mongols feigned a retreat and slaughtered most of the defenders on open fields.",,,,,,,,
1220,,,,1223,,,,,Jebe and Subutai raid east-east europe,"Jebe and Subutai lead a 20,000 strong mongol expedition and raid where they defeat the kingdom of Georgia, which was massing to join the 5th crusade. After they beat the Caucasus step tribes, defeat the Kievan Rus' and Cumans.",,,,,,,,
1223,5,31,,,,,,,Battle of the Kalka River,Jebe and Subutai defeat the combined Rus' army after a feigned retreat lasting several days which disorganises the advancing russians.,,,,,,,,
1226,,,,,,,,,Annihilation Western Xia,The Tanguts (or western Xia) had refused to help in Genghis' wars as they promised and they instead joined with the Jin to battle against the Mongols. This brought them no help and Genghis quickly captures many cities north of the yellow river.,,,,,,,,
1227,,,,,,,,,Mongols sack Yinchuan,The second most populous city in China and home of the western xia empire. Their emporer is executed and the city is destroyed. They finish the annihilation of western Xia.,,,,,,,,
1227,8,18,,,,,,,Genghis Khan dies,"During the siege of Yinchuan, genghis dies of an unknown cause. He is taken back to Mongolia and buried in an unknown location.",,,,,,,,
1228,,,,,,,,,"""Sixth Crusade""",,,,,,,,,
1229,,,,,,,,,Ogedei elected Khan,"After a kurultai, Ögedei is chosen to be the next khan.",,,,,,,,
1233,2,26,,,,,,,Mongols loot Kaifeng,"After a siege of about 10 months, the mongols under Subutai loot Kaifeng. This was the capital of the Jin dynasty.",,,,,,,,
1234,2,9,,,,,,,Mongols siege Caizhou,"The emporer of the Jin dynasty had fled here after the siege of Kaifeng. This was with the help from the southern song, who wanted to take Henan province.",,,,,,,,
1237,,,,1240,,,,,Mongol invasion of Rus',"The mongols under a force by Batu Khan conquer large parts of modern Russia, Ukraine and Belarus.After the death of Ogedei this area forms into the Golden Horde.",,,,,,,,
1241,4,9,,,,,,,Battle of Legnica,"Mongols decisively defeat polish forces near Legnica, Silesia in the Kingdom of Poland.",,,,,,,,
1241,4,11,,,,,,,Battle of Mohi,"Mongols decisively defeat between 80,000 and 25,000 hungarians, croatians and knights templar. With some Austrian forces. After this battle the kingdom of Hungary is heavily plundered, losing some 15-25% of its population.",,,,,,,,
1241,,,,,,,,,Ogedei dies,"Ogedei dies, all Mongol forces are recalled for the kurultai, this time a successor is much less clear.",,,,,,,,
1246,,,,,,,,,Guyuk made khan,"This coronation took a long time because Batu of the Golden horde did not want to come, fearing he would be killed.",,,,,,,,
